"PID","Height","Weight","Vertical","T.Q..Spring","L.A.T.","NSeasons","AnySeasons"
"121",441,73,178,38,3.22,11.09,13,1
"122",443,78.75,221.8,34.5,3.21,11.54,0,0
"123",445,74.25,184.8,39,3.29,10.49,12,1
"124",446,74.5,178.8,37,3.19,11.17,3,1
"125",447,78.5,211.4,35,3.31,11.33,9,1
"126",448,85.5,241.6,26.5,3.47,12.4,2,1
"127",449,81,255.8,27.5,3.35,11.05,2,1
"128",450,77,194.2,31.5,3.18,10.8,0,0
"129",451,81.5,258.8,33,3.44,11.98,0,0
"130",452,81.5,261,33,3.27,11.26,1,1
"131",453,76.5,200,29.5,3.27,11.11,0,0
"132",454,73,176.2,34,3.33,10.84,0,0
"133",456,81.25,237.8,33,3.23,11.5,10,1
"134",457,81.5,236.6,31,3.3,10.86,11,1
"135",459,79.5,229.6,30.5,3.39,11.39,10,1
"136",460,81,269.4,33.5,3.25,12.11,1,1
"137",461,74.75,202.4,35,3.25,10.83,12,1
"138",462,80,218,34,3.23,11.39,3,1
"139",463,80.25,228.2,35,3.17,11.11,13,1
"140",464,78.25,202.6,29.5,3.41,11.45,6,1
"141",465,74.5,186.8,36,3.27,11.58,2,1
"142",466,79.75,250,30.5,3.47,11.57,0,0
"143",467,76.5,203,35,3.22,11.73,4,1
"144",468,83.25,234,34,3.43,12.02,12,1
"145",469,78,214,35.5,3.19,11.45,3,1
"146",470,80,221,35.5,3.2,10.58,10,1
"147",471,76.5,224,32.5,3.48,11.77,0,0
"148",472,82.25,240,31.5,3.53,12.28,6,1
"149",473,81.75,227,32.5,3.25,10.54,2,1
"150",474,78.5,206,35,3.22,11.58,6,1
"151",475,80.5,265,30.5,3.38,11.62,0,0
"152",476,72.5,194,40,3.18,11.08,1,1
"153",477,80.25,209,34,3.31,11.41,0,0
"154",478,78.75,223,41,3.14,11.32,8,1
"155",479,77,218,34.5,3.25,11.42,0,0
"156",480,80.75,238,30.5,3.54,12.26,0,0
"157",481,80,234,35.5,3.21,10.57,0,0
"158",482,77.75,204,38.5,3.06,10.57,5,1
"159",483,70.25,184,34,3.11,11.03,0,0
"160",484,77.5,224,37.5,3.27,12,4,1
"161",485,75,183,34.5,3.2,10.53,0,0
"162",486,81,253,30,3.5,11.54,0,0
"163",487,74,182,33,3.34,10.88,0,0
"164",488,74,171,42,3.17,11.07,10,1
"165",489,75.25,212,38,3.23,10.53,11,1
"166",490,82,247,32,3.51,11.97,0,0
"167",491,80,222,40.5,3.32,11.03,12,1
"168",492,77.75,201,38,3.25,11.69,0,0
"169",493,80.5,231,33,3.45,11.02,0,0
"170",494,78,216,33.5,3.46,11.3,0,0
"171",495,83,219,31.5,3.46,11.34,0,0
"172",496,77.5,238,34,3.34,12.06,0,0
"173",497,81,236,36.5,3.24,12.23,0,0
"174",498,74.25,198,36.5,3.16,10.35,0,0
"175",499,78.75,211,34.5,3.28,11.23,2,1
"176",500,81.75,224,39,3.3,11.27,8,1
"177",501,78,202,34.5,3.24,11.4,0,0
"178",502,78.75,266,32,3.34,11.42,0,0
"179",503,77.5,179,35.5,3.3,10.67,3,1
"180",504,72.75,190,31,3.38,11.62,0,0
"181",505,76,187,39,3.34,11.46,1,1
"182",506,72.5,177,32,3.4,11.28,0,0
"183",507,81,232,36,3.29,11.47,4,1
"184",508,81.25,251,35.5,3.66,12.25,0,0
"185",509,79.25,258,32.5,3.3,11.67,12,1
"186",510,75.25,208,41.5,3.16,11.45,0,0
"187",511,79.75,198,30.5,3.37,11.46,3,1
"188",512,81.5,258,26,3.65,12.57,0,0
"189",513,78,223,38.5,3.07,10.54,1,1
"190",514,81.25,216,31,3.37,11.11,11,1
"191",515,84,249,30,3.63,12.68,4,1
"192",516,76,204,35.5,3.08,11.91,0,0
"193",517,73.5,175,37,3.25,11.25,6,1
"194",518,74.25,204,35.5,3.2,11.01,1,1
"195",519,76.75,190,33,3.29,10.94,0,0
"196",520,79.5,217,32.5,3.4,11.73,0,0
"197",521,78.25,207,40.5,3.27,11.13,6,1
"198",522,78.25,209,34.5,3.43,11.25,0,0
"199",523,84,237,31,3.38,12.52,3,1
"200",524,81.5,223,35,3.31,11.05,3,1
"201",525,80,220,34,3.4,11.56,0,0
"202",526,78.5,259,29.5,3.4,11.59,6,1
"203",527,81.25,238,34.5,3.4,12.08,1,1
"204",528,82.25,241,37,3.51,12.29,0,0
"205",529,86.5,280,29.5,3.38,11.67,0,0
"206",530,74.75,208,31.5,3.27,10.95,0,0
"207",531,80.25,217,39.5,3.2,11.36,8,1
"208",532,77.25,224,34,3.31,11.58,0,0
"209",533,81.5,267,28,3.72,13.7,0,0
"210",534,73,195,37.5,3.26,10.71,1,1
"211",535,73.75,171,34,3.15,11.61,0,0
"212",536,80.75,285,29,3.56,11.71,8,1
"213",537,80.75,211,31.5,3.31,11.9,2,1
"214",538,75.25,215,28,3.4,11.3,4,1
"215",539,80.75,227,31,3.3,10.69,7,1
"216",540,80.5,258,33.5,3.59,11.53,6,1
"217",541,78.5,227,36.5,3.1,11.54,0,0
"218",542,81.75,210,35,3.37,11.78,0,0
"219",543,79,240,26.5,3.45,12.18,0,0
"220",544,81.75,240,28,3.54,11.88,0,0
"221",545,79.75,185,36.5,3.22,11.69,11,1
"222",546,71.75,161,39.5,3.2,10.57,10,1
"223",547,73.75,170,41,3.25,11.27,4,1
"224",548,76.5,221,38.5,3.29,11.61,0,0
"225",550,72.75,175,40.5,3.09,11.63,11,1
"226",551,77.75,203,34.5,3.22,11.12,6,1
"227",552,80.5,250,30.5,3.37,12.52,0,0
"228",553,76.75,194,38,3.32,11.6,2,1
"229",554,83,230,30,3.53,12.63,2,1
"230",556,75,191,33.5,3.29,11.13,1,1
"231",557,79.25,219,32,3.45,11.32,11,1
"232",558,82.25,215,33.5,3.45,12.33,11,1
"233",559,80,244,32,3.41,11.43,0,0
"234",560,85.75,271,32.5,3.7,12.07,7,1
"235",561,80,238,36,3.46,11.72,0,0
"236",562,81.5,228,38,3.34,12,10,1
"237",563,72.75,173,32.5,3.26,11.3,1,1
"238",564,84.75,244,29,3.51,11.88,10,1
"239",565,75.75,181,36,3.28,11.39,0,0
"240",566,81.75,232,34,3.39,12.31,0,0
"241",567,81.75,246,35.5,3.37,12.15,11,1
"242",568,79.75,215,34,3.32,12.47,0,0
"243",569,82.75,209,33,3.37,13.31,0,0
"244",570,76.75,198,33,3.29,12.11,0,0
"245",571,81,208,39,3.28,11,0,0
"246",572,71.75,175,38.5,3.11,10.94,0,0
"247",573,77.75,216,35,3.31,11.78,3,1
"248",574,79.5,235,30,3.29,12.18,0,0
"249",575,73.75,183,28.5,3.39,11.02,0,0
"250",576,76.75,204,34.5,3.41,11.57,2,1
"251",577,82.5,237,30,3.42,11.19,0,0
"252",578,80.5,248,36.5,3.29,11.35,9,1
"253",579,79,213,36,3.22,11.73,1,1
"254",580,75.5,186,34,3.22,11,4,1
"255",581,82.5,267,30.5,3.43,11.96,0,0
"256",582,76.5,194,38,3.22,11.59,0,0
"257",583,78.5,218,29.5,3.43,12.1,7,1
"258",584,80.25,220,34.5,3.25,10.95,6,1
"259",585,82,240,31.5,3.47,11.7,11,1
"260",586,79,218,31.5,3.49,11.87,0,0
"261",587,78.5,201,31.5,3.29,11.77,0,0
"262",588,79.5,211,32.5,3.38,10.39,2,1
"263",589,84,223,37.5,3.47,11.79,11,1
"264",590,84,257,34,3.27,11.67,3,1
"265",591,82.75,226,28,3.6,11.61,0,0
"266",592,74.75,188,34.5,3.24,11.69,0,0
"267",593,80.75,252,30.5,3.29,11.39,2,1
"268",594,76.75,208,38,3.12,11.07,0,0
"269",595,79,214,33.5,3.36,11.63,0,0
"270",596,77.75,185,32.5,3.39,11.33,0,0
"271",597,75.75,185,33.5,3.27,11.65,11,1
"272",598,76.5,185,35,3.27,11.82,2,1
"273",599,83.5,233,37.5,3.29,10.96,10,1
"274",600,77,199,35,3.14,10.87,0,0
"275",601,76.5,207,35,3.11,11.34,10,1
"276",602,79.75,227,32.5,3.22,11.3,0,0
"277",603,80.75,212,34,3.45,10.68,0,0
"278",604,72.75,168,33,3.22,11.51,0,0
"279",605,79.5,222,37.5,3.26,11.76,0,0
"280",606,79,221,41,3.16,11.96,4,1
"281",607,80.5,242,30,3.29,11.49,10,1
"282",608,81.75,249,29,3.52,12.16,0,0
"283",609,83.5,242,29,3.39,12.6,0,0
"284",610,82.25,241,31,3.56,11.65,2,1
"285",611,82.75,242,30.5,3.47,12.14,0,0
"286",612,71.5,167,34.5,3.23,11.4,0,0
"287",613,82,200,35.5,3.31,11.76,10,1
"288",614,80.5,211,33.5,3.36,11.48,4,1
"289",615,81.5,212,32,3.23,11.46,0,0
"290",617,78.75,206,40.5,3.25,11,11,1
"291",618,79.5,210,37,3.19,11.06,11,1
"292",619,80.25,220,38.5,2.99,11.33,2,1
"293",620,80.5,216,30,3.14,12.18,9,1
"294",621,71.5,171.5,35,3.07,11.27,10,1
"295",622,75,204,38,3.07,11.26,10,1
"296",623,80.25,239,35,3.24,11.06,10,1
"297",624,74.25,184,29.5,3.24,10.68,0,0
"298",625,71,166,34,3.25,11.59,0,0
"299",626,80.5,252,31,3.25,12.47,0,0
"300",627,80.75,190,27,3.28,11.65,0,0
"301",628,74.5,201,34.5,3.19,11.19,0,0
"302",629,83,229.6,26.5,3.52,11.87,0,0
"303",632,76,213,36,3.22,11.67,1,1
"304",633,81.5,256,28.5,3.56,12.72,0,0
"305",634,79.25,265,33,3.2,11.84,4,1
"306",635,79.5,208,33.5,3.26,11.59,0,0
"307",636,81,230,32,3.26,12.47,0,0
"308",637,80.75,210,37.5,3.17,11.86,0,0
"309",638,79.25,224,42,3.43,11.77,0,0
"310",639,77.75,220.5,33.5,3.25,11.45,2,1
"311",640,77.25,194.5,33,3.24,12.3,0,0
"312",642,80.5,220,35,3.14,11.37,0,0
"313",643,84.25,258,27,3.33,12.4,0,0
"314",644,75.25,222,40,3.01,10.81,10,1
"315",645,79.75,290,27.5,3.32,12.16,0,0
"316",646,81,221,31.5,3.2,11.21,4,1
"317",647,77.25,204,38,3.08,11.33,2,1
"318",648,82.75,235,32,3.33,11.49,0,0
"319",649,80.75,250,28,3.27,10.62,0,0
"320",650,74.5,181,37.5,3.07,12.2,10,1
"321",651,77.25,234,33,3.4,12.17,0,0
"322",652,83,226,26,3.54,12.26,0,0
"323",653,73,196,36,3.16,11.15,4,1
"324",654,79.5,220,34.5,3.18,11.51,2,1
"325",655,79.75,240.5,31,3.26,11.75,3,1
"326",657,78.5,213,32,3.36,12.02,0,0
"327",658,80.5,240,31,3.33,11.61,0,0
"328",659,83,250,30.5,3.27,12.3,10,1
"329",660,82.75,247,32,3.2,12.06,1,1
"330",661,76.25,221,30,3.39,11.79,0,0
"331",662,80.5,222,34.5,3.36,11.57,0,0
"332",664,84.5,258,30.5,3.57,12.77,10,1
"333",665,81.5,255,35,3.22,11.17,10,1
"334",666,82.75,273,28,3.35,11.76,0,0
"335",667,76.25,200,41,3.14,11.04,8,1
"336",668,79.75,227,35,3.19,11.23,0,0
"337",669,79.5,221,38.5,3.17,11.71,10,1
"338",670,84,241,32.5,3.25,12.75,10,1
"339",671,72.75,175.5,32,3.2,11.19,0,0
"340",672,74.25,198,38.5,3.13,10.54,1,1
"341",673,83.5,239.5,28,3.45,12.45,0,0
"342",674,73.5,208,37,3.07,10.65,2,1
"343",675,82.25,240,35.5,3.17,11.32,0,0
"344",676,79.75,225.5,36,3.14,11.79,0,0
"345",677,81,242.2,32.5,3.4,11.3,0,0
"346",678,82.25,197,35,3.26,11.86,6,1
"347",679,80.25,244,33.5,3.13,11.51,0,0
"348",681,73.25,173,36.5,3.05,10.65,5,1
"349",682,73.5,196,31.5,3.15,11.3,0,0
"350",684,74.5,196,40,3.05,11.69,9,1
"351",686,73.5,183.5,29.5,3.26,11.08,0,0
"352",687,76.25,210,41,3.19,11.08,0,0
"353",688,74,166.2,39,3.08,10.98,1,1
"354",689,75.5,217,33.5,3.14,12.52,0,0
"355",690,76.5,199,29.5,3.4,11.97,0,0
"356",691,78.25,198.5,40,3.09,11.03,0,0
"357",692,77.5,193,36.5,2.96,10.58,4,1
"358",693,75.5,192,36.5,3.08,10.98,10,1
"359",694,76,199,36.5,3.07,11.32,7,1
"360",695,78.5,236.2,31.5,3.32,11.34,5,1
"361",696,82,239.6,35,3.14,11.98,6,1
"362",697,74.25,182.4,39,3.15,10.49,4,1
"363",698,78.5,276.6,33,3.45,11.5,7,1
"364",699,80.5,224.6,35.5,3.13,11.26,3,1
"365",700,79,206.4,38.5,3.24,11.08,7,1
"366",702,81.25,211.2,32.5,3.28,11.15,9,1
"367",703,77.5,210.8,33.5,3.21,10.83,1,1
"368",704,82.25,228.4,33,3.35,11.17,6,1
"369",705,73.5,166.2,33.5,3.1,10.45,9,1
"370",706,80.25,227.4,35,3.26,11.18,9,1
"371",707,75.25,181,35.5,3.28,11.07,9,1
"372",708,82.75,191.8,28,3.55,12.11,6,1
"373",709,78.5,211.2,38.5,3.31,11.88,9,1
"374",710,74,183.4,32.5,3.03,10.63,8,1
"375",711,77.25,202.4,38,3.2,11.14,9,1
"376",712,77.25,220.6,34,3.17,11.81,9,1
"377",713,72.75,195.6,40,3.23,10.86,3,1
"378",714,81.75,214.4,30,3.41,11.56,9,1
"379",715,78.5,208,33,3.3,11.3,9,1
"380",716,82,248.4,35.5,3.28,10.95,8,1
"381",717,81.5,234.2,34,3.27,11.12,7,1
"382",718,77.25,222,37,3.13,11.1,9,1
"383",719,77,214.6,35,3.14,11.17,8,1
"384",720,83,246.2,34,3.38,11.67,0,0
"385",721,82.25,232.4,35,3.3,12.23,8,1
"386",722,76.25,199,34,3.21,10.64,9,1
"387",723,80.25,209.2,31,3.3,10.66,4,1
"388",724,79.75,257.2,35,3.23,11.21,9,1
"389",725,72.5,196.6,36.5,3.12,10.98,8,1
"390",726,75.25,163.6,31.5,3.19,10.78,5,1
"391",727,72.75,185.2,36.5,3.21,10.44,0,0
"392",728,75,190.4,36.5,3.25,10.61,1,1
"393",729,76,211.4,37,3.1,10.96,9,1
"394",730,72.5,175.4,33,3.1,10.87,9,1
"395",731,85.25,258.2,32.5,3.45,11.1,5,1
"396",732,74,192.8,31,3.22,10.99,6,1
"397",733,78,212,33.5,3.24,10.69,0,0
"398",734,80.5,243,34.5,3.17,10.94,4,1
"399",735,76.75,207.4,37.5,3.32,11.54,2,1
"400",736,73.5,175.2,36.5,3.18,11.05,9,1
"401",738,75.75,194.4,33,3.28,10.73,8,1
"402",739,78.25,213.2,37,3.18,11.15,4,1
"403",740,78.75,222.8,33,3.45,11.47,4,1
"404",741,84.75,237.4,26,3.68,13.2,2,1
"405",742,83.25,236,28,3.35,11.48,8,1
"406",743,80.5,216,33.5,3.3,11.29,8,1
"407",744,77.75,207.6,35.5,3.19,11.86,5,1
