"PID","Height","Weight","Vertical","T.Q..Spring","L.A.T.","NSeasons","AnySeasons"
"528",880,74,205.8,32.5,3.3,11.26,1,1
"529",881,76.25,198.4,37,3.23,12.03,4,1
"530",882,84,255,31,3.44,12.14,1,1
"531",883,80.25,216.2,31,3.47,11.45,6,1
"532",884,79.5,233.4,37,3.31,11.34,4,1
"533",885,82,218.7,36,3.48,11.05,3,1
"534",886,78.25,216.4,40,3.47,11.72,1,1
"535",887,82.75,232.8,37.5,3.22,11.32,2,1
"536",888,78.25,194,36.5,3.42,10.97,1,1
"537",889,81.5,234,30.5,3.67,11.89,5,1
"538",890,82,240.8,31.5,3.53,11.65,6,1
"539",891,83.75,252.4,40.5,3.36,10.64,6,1
"540",892,77,202.8,37.5,3.32,11.54,6,1
"541",893,80.75,244.2,35.5,3.17,11.96,5,1
"542",894,79,196.6,37.5,3.28,11.78,6,1
"543",896,80.75,240.8,32.5,3.44,11.59,6,1
"544",897,83.75,241.2,29.5,3.44,12.33,4,1
"545",898,81,268.2,31,3.81,12.77,5,1
"546",899,79.25,212.8,40,3.29,10.87,0,0
"547",900,74,192.8,36.5,3.19,10.57,0,0
"548",901,76,177,36.5,3.2,11.48,2,1
"549",902,74,179.8,40.5,3.19,10.65,2,1
"550",903,80,206,36.5,3.38,11.72,4,1
"551",906,78,203.2,35.5,3.24,10.75,4,1
"552",907,84.5,247.4,34,3.4,11.13,6,1
"553",908,84,254.5,33,3.4,11.85,5,1
"554",909,77.25,197.4,37.5,3.14,10.4,3,1
"555",910,77.25,189.2,34,3.4,11.78,4,1
"556",911,79,199.8,36.5,3.31,11.33,5,1
"557",912,73.25,187,36.5,3.16,11.2,5,1
"558",913,77.5,203.6,34.5,3.12,10.6,5,1
"559",914,72,188.4,40.5,3.22,10.98,5,1
"560",915,81,241.2,32,3.35,11.83,0,0
"561",916,77.75,184.4,41,3.22,10.68,5,1
"562",917,79,210.4,34.5,3.38,11.68,0,0
"563",918,79.5,208.6,36,3.34,11.69,5,1
"564",919,78.25,197.4,36,3.32,10.67,5,1
"565",921,82.25,241.8,31.5,3.5,11.22,2,1
"566",922,83.5,238.8,32.5,3.4,12.75,5,1
"567",924,79,200.8,36.5,3.4,11.55,4,1
"568",925,78.25,202.6,38.5,3.25,11.16,1,1
"569",927,86,237.6,29,3.57,12.85,5,1
"570",928,77.25,189,36,3.27,10.75,4,1
"571",930,78.25,199.4,37.5,3.25,10.68,0,0
"572",931,79,226,37.5,3.19,10.77,4,1
"573",933,84,262.8,30,3.52,11.52,0,0
"574",935,82.25,232,34,3.51,11.85,1,1
"575",936,74.75,180.4,33.5,3.44,10.64,0,0
"576",937,82,241.6,38,3.44,11.47,0,0
"577",939,71.5,170.8,44,3.08,10.64,4,1
"578",940,78,197.2,33.5,3.32,10.72,2,1
"579",942,80.75,209.2,40.5,3.1,10.19,0,0
"580",943,80,235.8,36.5,3.32,12.01,0,0
"581",944,73.75,191.4,40,3.25,10.82,3,1
"582",945,75.25,197,38.5,3.32,11.02,0,0
"583",946,76.75,189.2,42,3.27,11.87,5,1
"584",947,80.75,236.4,38,3.52,11.82,1,1
"585",948,78.25,221.8,37,3.32,10.99,5,1
"586",949,81.5,239.8,29.5,3.57,12.19,1,1
"587",950,83.5,230.2,33.5,3.44,11.76,5,1
"588",952,76.25,213.2,42,3.25,10.69,5,1
"589",953,84,234,29.5,3.59,11.42,5,1
"590",954,76,201,39.5,3.37,11.16,1,1
"591",955,82.5,207.2,34.5,3.32,11.49,0,0
"592",956,84.5,238.2,36,3.29,10.89,5,1
"593",957,80.5,197.6,36,3.4,11.25,5,1
"594",958,71.5,177,38.5,3.13,10.86,3,1
"595",959,77.75,210.8,40.5,3.25,10.99,7,1
"596",960,79,205.8,36.5,3.34,11.36,5,1
"597",961,74,164.8,34,3.21,11.09,5,1
"598",962,73,180.6,41.5,3.16,10.59,1,1
"599",963,79.25,198.2,36.5,3.25,11.36,5,1
"600",964,80,220.6,32,3.38,10.9,1,1
"601",965,77.75,231.8,40.5,3.32,11.64,1,1
"602",966,79,219.8,32,3.53,12.94,0,0
"603",967,84.5,221.8,29,3.47,12.49,5,1
"604",970,84.25,230,37.5,3.15,10.82,5,1
"605",971,76.75,208.8,29.5,3.5,12.13,2,1
"606",973,78.25,205.2,39.5,3.18,11.39,1,1
"607",974,84.5,219.5,29.5,3.55,11,0,0
"608",975,86,254.1,33,3.36,12.15,0,0
"609",976,81.75,252.4,33.5,3.37,11.39,2,1
"610",977,81.25,208.8,35.5,3.26,11.6,1,1
"611",978,76.25,201.9,32,3.5,11.6,1,1
"612",979,75.5,184.4,43.5,3.18,12.62,3,1
"613",980,85.25,231.2,30,3.48,12.05,0,0
"614",981,73.25,192.8,39.5,3.28,11.28,0,0
"615",982,71,179.6,43.5,3.24,11.26,0,0
"616",983,75.25,186,36.5,3.32,11.55,1,1
"617",984,77,186.3,38.5,3.28,10.76,4,1
"618",985,73.75,191.6,32,3.26,10.78,0,0
"619",986,80.5,196,32,3.44,11.46,0,0
"620",988,79.25,209.4,40,3.18,11.15,2,1
"621",989,79,218.5,35,3.14,11.55,0,0
"622",990,74.5,181.5,36,3.3,11.12,4,1
"623",991,78,196.3,34.5,3.19,10.75,2,1
"624",992,80,218.1,35,3.32,11,0,0
"625",993,80.75,220.1,39,3.27,10.81,4,1
"626",995,77.25,228.8,37,3.32,11.12,2,1
"627",997,78.25,215,33.5,3.31,11.11,4,1
"628",998,80.5,208.2,36,3.38,11.21,4,1
"629",999,81,218.4,37.5,3.36,12.63,2,1
"630",1000,75,198,41.5,3.27,10.8,1,1
